epoch,step,train/loss,train/mean_return,train/net_exposure,train/position_magnitude,train/return,train/turnover,val/position_magnitude,val/return
6,199,-0.38934263586997986,0.0060867974534630775,0.9947507381439209,0.11061745136976242,0.006086797919124365,0.12328173220157623,,
6,209,-1.4583220481872559,0.023255890235304832,2.348538875579834,0.2627536356449127,0.023255890235304832,0.2528066337108612,,
6,219,0.130066379904747,0.0026007338892668486,1.5621283054351807,0.17358547449111938,0.0026007338892668486,0.13099774718284607,,
6,223,,,,,,,0.2037099301815033,0.0014824855607002974
7,229,-0.02221432328224182,0.004453203175216913,1.5683894157409668,0.1765398383140564,0.004453203175216913,0.15545839071273804,,
7,239,-0.4009068012237549,0.009481942281126976,1.6002724170684814,0.17787329852581024,0.009481942281126976,0.17609503865242004,,
7,249,-0.5065107941627502,0.01132192276418209,1.893796443939209,0.2104218304157257,0.01132192276418209,0.2092755287885666,,
7,255,,,,,,,0.15316319465637207,0.002545503433793783
8,259,-0.5084125995635986,0.008945108391344547,1.2970727682113647,0.14471286535263062,0.008945108391344547,0.1627555936574936,,
8,269,-0.07998925447463989,0.007032316643744707,1.6801958084106445,0.18690133094787598,0.007032317109405994,0.19839495420455933,,
8,279,0.6038153171539307,0.00796783808618784,2.941317319869995,0.32691243290901184,0.00796783808618784,0.3736696243286133,,
8,287,,,,,,,0.19375817477703094,0.0017491895705461502
9,289,-1.545615553855896,0.020934810861945152,1.6181526184082031,0.18014104664325714,0.020934810861945152,0.23363657295703888,,
9,299,0.02132803201675415,0.009464990347623825,2.3066165447235107,0.25636589527130127,0.009464990347623825,0.3361566960811615,,
9,309,-0.40280967950820923,0.011977242305874825,1.902823805809021,0.21211634576320648,0.011977242305874825,0.2896796762943268,,
9,319,-0.22304271161556244,0.003919482696801424,1.1019649505615234,0.12244054675102234,0.003919482696801424,0.08285824209451675,,
9,319,,,,,,,0.17611519992351532,0.002089854096993804
10,329,-0.06739488244056702,0.003990907222032547,1.168639063835144,0.13010527193546295,0.003990907222032547,0.19000370800495148,,
10,339,-1.441683292388916,0.023130225017666817,2.0768942832946777,0.23116567730903625,0.023130226880311966,0.3070412874221802,,
10,349,0.1583731770515442,0.0011784954695031047,1.4126760959625244,0.15713749825954437,0.0011784954695031047,0.08408685028553009,,
10,351,,,,,,,0.17925091087818146,0.001790271489880979
11,359,-0.27016207575798035,0.004685043357312679,1.0484527349472046,0.11656636744737625,0.004685043357312679,0.09679034352302551,,
11,369,-2.302384853363037,0.04533007740974426,4.035502910614014,0.4495353102684021,0.04533007740974426,0.3963547646999359,,
11,379,0.036454468965530396,0.0030091716907918453,1.3083595037460327,0.1455719918012619,0.0030091716907918453,0.1441708654165268,,
11,383,,,,,,,0.18572326004505157,0.0019345034379512072
12,389,0.05729413032531738,0.003973112441599369,1.431779146194458,0.15984082221984863,0.003973112441599369,0.1962530016899109,,
12,399,-0.35246533155441284,0.008433762937784195,1.5438069105148315,0.17154330015182495,0.008433762937784195,0.16175232827663422,,
12,409,-0.710597574710846,0.017200982198119164,2.447533130645752,0.27204200625419617,0.017200982198119164,0.2824081480503082,,
12,415,,,,,,,0.193101704120636,0.0013070486020296812
13,419,-0.6835595369338989,0.010810688138008118,1.3466334342956543,0.15036644041538239,0.010810687206685543,0.19045904278755188,,
13,429,-0.11634641885757446,0.007354562170803547,1.6640949249267578,0.18538473546504974,0.007354562170803547,0.19091087579727173,,
13,439,0.5800455808639526,0.010707701556384563,3.2426228523254395,0.3603440523147583,0.010707701556384563,0.4245181381702423,,
13,447,,,,,,,0.17176149785518646,0.001828557113185525
14,449,-1.8163673877716064,0.028737396001815796,2.4669620990753174,0.27479246258735657,0.028737397864460945,0.31821078062057495,,
