epoch,step,train/loss,train/mean_return,train/position_magnitude,train/return,train/turnover,val/position_magnitude,val/return
12,389,-2.4178385734558105,0.024275442585349083,0.9819251298904419,0.024275444447994232,0.37900128960609436,,
12,399,-1.2084267139434814,0.01217139232903719,0.9108484983444214,0.01217139232903719,0.7454878091812134,,
12,409,-4.8133745193481445,0.04822779446840286,0.9619776606559753,0.04822779819369316,0.49487003684043884,,
12,415,,,,,,0.9733109474182129,0.0007458921754732728
13,419,-1.3606879711151123,0.013703808188438416,0.9827549457550049,0.01370380911976099,0.1996212601661682,,
13,429,-3.4145421981811523,0.03423977643251419,0.9658372402191162,0.03423977643251419,0.6641117930412292,,
13,439,-2.336989402770996,0.02346551977097988,0.97098308801651,0.02346551977097988,0.734807014465332,,
13,447,,,,,,0.9873993396759033,0.000431490974733606
14,449,-4.919167995452881,0.04928470030426979,0.9559638500213623,0.04928470030426979,0.5158685445785522,,
14,459,-4.481279373168945,0.0449056476354599,0.9560375213623047,0.0449056476354599,1.039887547492981,,
14,469,-1.6324748992919922,0.01642286777496338,0.9897587299346924,0.01642286777496338,0.7561108469963074,,
14,479,-4.226446151733398,0.04236310347914696,0.9931750297546387,0.04236310347914696,0.396134614944458,,
14,479,,,,,,0.9775351881980896,0.0007007502717897296
15,489,1.8320214748382568,-0.018222324550151825,0.9884092807769775,-0.018222324550151825,0.5097575783729553,,
15,499,-6.337291717529297,0.0634680762887001,0.9683636426925659,0.0634680762887001,0.8816179633140564,,
15,509,-2.101463556289673,0.021112672984600067,0.9894594550132751,0.021112672984600067,0.4833523631095886,,
15,511,,,,,,0.985406219959259,0.0008115466334857047
16,519,-4.494987487792969,0.04504033550620079,0.9348490238189697,0.04504033550620079,0.8071682453155518,,
